"Site"	"MHS_WQ"
"JDS01-0-M"	"II"
"JDS02-0-L"	"II"
"JDS02-0-M"	"II"
"JDS02-0-R"	"II"
"JDS03-0-L"	"II"
"JDS03-0-M"	"II"
"JDS03-0-R"	"II"
"JDS04-0-L"	"II"
"JDS04-0-M"	"II"
"JDS04-0-R"	"II"
"JDS05-0-L"	"II"
"JDS05-0-M"	"II"
"JDS05-0-R"	"II"
"JDS06-0-L"	"III"
"JDS06-0-M"	"III"
"JDS06-0-R"	"III"
"JDS07-0-L"	"II"
"JDS07-0-M"	"II"
"JDS07-0-R"	"II"
"JDS08-0-L"	"II"
"JDS08-0-M"	"II"
"JDS08-0-R"	"II"
"JDS09-0-L"	"II"
"JDS09-0-M"	"II"
"JDS09-0-R"	"II"
"JDS09-4-L"	"II"
"JDS09-4-M"	"II"
"JDS09-4-R"	"II"
"JDS10-0-L"	"II"
"JDS10-0-M"	"II"
"JDS10-0-R"	"II"
"JDS11-0-L"	"II"
"JDS11-0-M"	"II"
"JDS11-0-R"	"II"
"JDS13-0-L"	"II"
"JDS13-0-M"	"II"
"JDS13-0-R"	"II"
"JDS14-0-L"	"II"
"JDS14-0-M"	"II"
"JDS14-0-R"	"II"
"JDS15-0-L"	"II"
"JDS15-0-M"	"II"
"JDS15-0-R"	"II"
"JDS17-0-L"	"II"
"JDS17-0-M"	"II"
"JDS17-0-R"	"II"
"JDS19-0-L"	"II"
"JDS19-0-M"	"II"
"JDS19-0-R"	"II"
"JDS20-0-L"	"II"
"JDS20-0-M"	"II"
"JDS20-0-R"	"II"
"JDS21-0-L"	"II"
"JDS21-0-M"	"II"
"JDS21-0-R"	"II"
"JDS22-0-L"	"III"
"JDS22-0-M"	"III"
"JDS22-0-R"	"III"
"JDS24-0-L"	"II"
"JDS24-0-M"	"II"
"JDS24-0-R"	"II"
"JDS25-0-L"	"II"
"JDS25-0-M"	"II"
"JDS25-0-R"	"II"
"JDS26-0-L"	"II"
"JDS26-0-M"	"II"
"JDS26-0-R"	"II"
"JDS27-0-L"	"II"
"JDS27-0-M"	"II"
"JDS27-0-R"	"II"
"JDS28-0-L"	"IV"
"JDS28-0-M"	"IV"
"JDS28-0-R"	"IV"
"JDS30-0-L"	"III"
"JDS30-0-M"	"III"
"JDS30-0-R"	"III"
"JDS31-0-L"	"II"
"JDS31-0-M"	"II"
"JDS31-0-R"	"II"
"JDS32-0-L"	"V"
"JDS32-0-M"	"V"
"JDS32-0-R"	"V"
"JDS33-0-L"	"II"
"JDS33-0-M"	"II"
"JDS33-0-R"	"II"
"JDS34-0-L"	"III"
"JDS34-0-M"	"III"
"JDS34-0-R"	"III"
"JDS36-0-L"	"II"
"JDS36-0-M"	"II"
"JDS36-0-R"	"II"
"JDS38-0-L"	"II"
"JDS38-0-M"	"II"
"JDS38-0-R"	"II"
"JDS39-0-L"	"III"
"JDS39-0-M"	"III"
"JDS39-0-R"	"III"
"JDS40-0-L"	"III"
"JDS40-0-M"	"III"
"JDS40-0-R"	"III"
"JDS42-0-L"	"IV"
"JDS42-0-M"	"IV"
"JDS42-0-R"	"IV"
"JDS43-0-L"	"II"
"JDS43-0-M"	"II"
"JDS43-0-R"	"II"
"JDS44-0-L"	"II"
"JDS44-0-M"	"II"
"JDS44-0-R"	"II"
"JDS45-0-L"	"III"
"JDS45-0-M"	"III"
"JDS45-0-R"	"III"
"JDS46-0-L"	"IV"
"JDS46-0-M"	"IV"
"JDS46-0-R"	"IV"
"JDS47-0-L"	"II"
"JDS47-0-M"	"II"
"JDS47-0-R"	"II"
"JDS49-0-L"	"II"
"JDS49-0-M"	"II"
"JDS49-0-R"	"II"
"JDS50-0-L"	"II"
"JDS50-0-M"	"II"
"JDS50-0-R"	"II"
"JDS52-0-L"	"II"
"JDS52-0-M"	"II"
"JDS52-0-R"	"II"
"JDS53-0-L"	"II"
"JDS53-0-M"	"II"
"JDS53-0-R"	"II"
"JDS55-0-L"	"I"
"JDS55-0-M"	"I"
"JDS55-0-R"	"I"
"JDS57-0-L"	"I"
"JDS57-0-M"	"I"
"JDS57-0-R"	"I"
"JDS59-0-L"	"II"
"JDS59-0-M"	"II"
"JDS59-0-R"	"II"
"JDS60-0-L"	"II"
"JDS60-0-M"	"II"
"JDS60-0-R"	"II"
"JDS61-0-L"	"III"
"JDS61-0-M"	"III"
"JDS61-0-R"	"III"
"JDS62-0-L"	"II"
"JDS62-0-M"	"II"
"JDS62-0-R"	"II"
"JDS65-0-L"	"II"
"JDS65-0-M"	"II"
"JDS65-0-R"	"II"
"JDS66-0-L"	"III"
"JDS66-0-M"	"III"
"JDS66-0-R"	"III"
"JDS67-0-L"	"II"
"JDS67-0-M"	"II"
"JDS67-0-R"	"II"
"JDS68-0-L"	"II"
"JDS68-0-M"	"II"
"JDS68-0-R"	"II"
